[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:47] - 꿈의숲해링턴아파트105동앞
[2022-02-24 13:46:59,892] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:47] - 꿈의숲해링턴아파트108동앞
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:47] - 송중초등학교
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:47] - 롯데백화점미아점
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:46] - 미아사거리역
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:47] - 미아사거리전철역
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:46] - 강북보건소
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:47] - 롯데백화점
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:46] - 강북보건소
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:47] - 송중초등학교
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:46] - 강북보건소
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:47] - 꿈의숲해링턴아파트108동앞
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:46] - 강북보건소
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:47] - 꿈의숲해링턴아파트105동앞
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:46] - 강북보건소
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:47] - 꿈의숲해링턴아파트101동앞
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:46] - 강북보건소
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:47] - 홈빌라트
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:46] - 강북보건소
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:47] - 제일슈퍼
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:46] - 강북보건소
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:47] - 동성주택
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:46] - 강북보건소
[2022-02-24 13:46:59,907] [DEBUG] [BusServiceImpl.java:47] - 삼광학원
